Symbol,Sector
FUV,Consumer Non-Durables
AFI,Consumer Non-Durables
AWI,Consumer Non-Durables
ARW,Consumer Non-Durables
ATAC,Consumer Non-Durables
ATACR,Consumer Non-Durables
ATACU,Consumer Non-Durables
AVT,Consumer Non-Durables
AVP,Consumer Non-Durables
BGS,Consumer Non-Durables
BERY,Consumer Non-Durables
SAM,Consumer Non-Durables
LND,Consumer Non-Durables
BRFS,Consumer Non-Durables
BRID,Consumer Non-Durables
BTI,Consumer Non-Durables
BG,Consumer Non-Durables
CVGW,Consumer Non-Durables
CAL,Consumer Non-Durables
ELY,Consumer Non-Durables
CALM,Consumer Non-Durables
CPB,Consumer Non-Durables
GOOS,Consumer Non-Durables
CSWC,Consumer Non-Durables
CSWCL,Consumer Non-Durables
CRI,Consumer Non-Durables
ROX,Consumer Non-Durables
CAW,Consumer Non-Durables
CELH,Consumer Non-Durables
CHKE,Consumer Non-Durables
BORN,Consumer Non-Durables
CTAS,Consumer Non-Durables
CLAR,Consumer Non-Durables
KOF,Consumer Non-Durables
COKE,Consumer Non-Durables
KO,Consumer Non-Durables
CCE,Consumer Non-Durables
JVA,Consumer Non-Durables
CL,Consumer Non-Durables
COLM,Consumer Non-Durables
CCU,Consumer Non-Durables
CAG,Consumer Non-Durables
STZ,Consumer Non-Durables
CMT,Consumer Non-Durables
CORE,Consumer Non-Durables
CZZ,Consumer Non-Durables
COT,Consumer Non-Durables
COTY,Consumer Non-Durables
BREW,Consumer Non-Durables
CROX,Consumer Non-Durables
CUI,Consumer Non-Durables
DAR,Consumer Non-Durables
DTEA,Consumer Non-Durables
DF,Consumer Non-Durables
DECK,Consumer Non-Durables
DLA,Consumer Non-Durables
DSWL,Consumer Non-Durables
DEO,Consumer Non-Durables
DFBG,Consumer Non-Durables
DPZ,Consumer Non-Durables
DPS,Consumer Non-Durables
DXF,Consumer Non-Durables
ELF,Consumer Non-Durables
EAST,Consumer Non-Durables
EASTW,Consumer Non-Durables
MSN,Consumer Non-Durables
EPC,Consumer Non-Durables
ENS,Consumer Non-Durables
ENTG,Consumer Non-Durables
ESCA,Consumer Non-Durables
EL,Consumer Non-Durables
EVK,Consumer Non-Durables
FARM,Consumer Non-Durables
FAMI,Consumer Non-Durables
FLO,Consumer Non-Durables
FMX,Consumer Non-Durables
FORD,Consumer Non-Durables
FOSL,Consumer Non-Durables
FOXF,Consumer Non-Durables
FDP,Consumer Non-Durables
FRPT,Consumer Non-Durables
FORK,Consumer Non-Durables
FNKO,Consumer Non-Durables
FTFT,Consumer Non-Durables
WILC,Consumer Non-Durables
GPIC,Consumer Non-Durables
GIS,Consumer Non-Durables
GIII,Consumer Non-Durables
GIL,Consumer Non-Durables
GLAD,Consumer Non-Durables
GLADN,Consumer Non-Durables
GNC,Consumer Non-Durables
GES,Consumer Non-Durables
HOG,Consumer Non-Durables
HAS,Consumer Non-Durables
HSY,Consumer Non-Durables
HRL,Consumer Non-Durables
TWNK,Consumer Non-Durables
TWNKW,Consumer Non-Durables
HWCC,Consumer Non-Durables
ICON,Consumer Non-Durables
IGC,Consumer Non-Durables
IBA,Consumer Non-Durables
IFON,Consumer Non-Durables
INGR,Consumer Non-Durables
IMTE,Consumer Non-Durables
IPAR,Consumer Non-Durables
ITRN,Consumer Non-Durables
JJSF,Consumer Non-Durables
JILL,Consumer Non-Durables
SJM,Consumer Non-Durables
JAKK,Consumer Non-Durables
JBSS,Consumer Non-Durables
JOUT,Consumer Non-Durables
KBSF,Consumer Non-Durables
K,Consumer Non-Durables
KN,Consumer Non-Durables
KOSS,Consumer Non-Durables
LW,Consumer Non-Durables
LANC,Consumer Non-Durables
LNDC,Consumer Non-Durables
LBIX,Consumer Non-Durables
LUK,Consumer Non-Durables
LEVB,Consumer Non-Durables
LWAY,Consumer Non-Durables
LMNR,Consumer Non-Durables
LRAD,Consumer Non-Durables
LULU,Consumer Non-Durables
MAT,Consumer Non-Durables
MKC,Consumer Non-Durables
MKC.V,Consumer Non-Durables
MED,Consumer Non-Durables
MGPI,Consumer Non-Durables
KORS,Consumer Non-Durables
TAP,Consumer Non-Durables
